SR_LifeEvent,LifeEventFinal,LifeEventFamily,LifeEventFamily2,Anticipation,Intimacy,Scope
Year end performance review,PerformanceReview,Work,Work,Unanticipated,3,3
Year End Review,PerformanceReview,Work,Work,Unanticipated,3,3
Year end review,PerformanceReview,Work,Work,Unanticipated,3,3
Year-End,PerformanceReview,Work,Work,Unanticipated,3,3
Year-end,PerformanceReview,Work,Work,Unanticipated,3,3
Year-end Performance reviews,PerformanceReview,Work,Work,Unanticipated,3,3
Year-end provision,PerformanceReview,Work,Work,Unanticipated,3,3
Yearly Performance Evaluation,PerformanceReview,Work,Work,Unanticipated,3,3
Yearly Performance Reviews,PerformanceReview,Work,Work,Unanticipated,3,3
Yearly review,PerformanceReview,Work,Work,Unanticipated,3,3
yearly review,PerformanceReview,Work,Work,Unanticipated,3,3
job/performance uncertainty,PerformanceReview,Work,Work,Unanticipated,3,3
Year end- budgeting and reviews,PerformanceReview,Work,Work,Unanticipated,3,3
EOY performance review,PerformanceReview,Work,Work,Unanticipated,3,3
Performance eva;,PerformanceReview,Work,Work,Unanticipated,3,3
Major unit external review,PerformanceReview,Work,Work,Unanticipated,3,3
Year end,PerformanceReview,Work,Work,Unanticipated,3,3
year end review,PerformanceReview,Work,Work,Unanticipated,3,3
reviews,PerformanceReview,Work,Work,Unanticipated,3,3
end of quarter reports,PerformanceReview,Work,Work,Unanticipated,3,3
Annual Performance Review,PerformanceReview,Work,Work,Unanticipated,3,3
Change in household: person moved in or out,PersonMovedOut,Personal,Family,Anticipated,2,2
Found out a friend would be moving away,PersonMovedOut,Personal,Family,Anticipated,2,2
Husband deployed to Middle East,PersonMovedOut,Personal,Family,Anticipated,2,2
Move Dad into nursing home,PersonMovedOut,Personal,Family,Anticipated,2,2
Moved Daughter and Son In Law into our house from Ohio,PersonMovedOut,Personal,Family,Anticipated,2,2
My boyfriend deployed overseas,PersonMovedOut,Personal,Family,Anticipated,2,2
Son went to college,PersonMovedOut,Personal,Family,Anticipated,2,2
Daughter moved out,PersonMovedOut,Personal,Family,Anticipated,2,2
Daughter studied out of country,PersonMovedOut,Personal,Family,Anticipated,2,2
daughter moved out,PersonMovedOut,Personal,Family,Anticipated,2,2
Change in household: person moved in or out,PersonMoveIn,Personal,Family,Anticipated,2,2
"my parents had been living with me due to financial pressures, and we were able to move to separate residences",PersonMoveIn,Personal,Family,Anticipated,2,2
Partner joined me in the USA,PersonMoveIn,Personal,Family,Anticipated,2,2
Roommate moved in,PersonMoveIn,Personal,Family,Anticipated,2,2
Step Daughter moved in full time,PersonMoveIn,Personal,Family,Anticipated,2,2
Stepchild moved into our home full time,PersonMoveIn,Personal,Family,Anticipated,2,2
My sister and her dog moved in with me,PersonMoveIn,Personal,Family,Anticipated,2,2
Death of pet,PetDied,Personal,SocialActivities,Unanticipated,2,2
Dog dies,PetDied,Personal,SocialActivities,Unanticipated,2,2
had to put first pet down,PetDied,Personal,SocialActivities,Unanticipated,2,2
Pet died,PetDied,Personal,SocialActivities,Unanticipated,2,2
Pet Died,PetDied,Personal,SocialActivities,Unanticipated,2,2
Loss of a pet,PetDied,Personal,SocialActivities,Unanticipated,2,2
My dog died,PetDied,Personal,SocialActivities,Unanticipated,2,2
Favorite dog passed away,PetDied,Personal,SocialActivities,Unanticipated,2,2
My dog Kye passed away 2 days after I came home from a work conference - he and our other dog Paris had been in a kennel for 4 days while I and my sister (she traveled with me) were in Las Vegas,PetDied,Personal,SocialActivities,Unanticipated,2,2
Critical pet illness,PetIllness,Personal,SocialActivities,Unanticipated,3,2
Dog became terminally ill,PetIllness,Personal,SocialActivities,Unanticipated,3,2
Dog diagnosed with Diabetes,PetIllness,Personal,SocialActivities,Unanticipated,3,2
Dog really sick,PetIllness,Personal,SocialActivities,Unanticipated,3,2
One of my pets went through major surgery.,PetIllness,Personal,SocialActivities,Unanticipated,3,2
Had to put pet to sleep,PetIllness,Personal,SocialActivities,Unanticipated,3,2
pet diagnosed with heart failure,PetIllness,Personal,SocialActivities,Unanticipated,3,2
new gym,PhysicalActivity,Health,Health,Anticipated,1,3
received two job offers in one day,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Became school Principal,PositiveJobSwitch,Work,Work,Unanticipated,2,3
change job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Change job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed companies,PositiveJobSwitch,Work,Work,Unanticipated,2,3
changed job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed job. Was industrial engineer. Started launch production supervisor.,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed jobs,PositiveJobSwitch,Work,Work,Unanticipated,2,3
changed jobs,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed jobs within company,PositiveJobSwitch,Work,Work,Unanticipated,2,3
"Changed jobs, Took a vacation,  Moved to a new home",PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed roles on team,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed Teams,PositiveJobSwitch,Work,Work,Unanticipated,2,3
first day at new job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Got a job offer,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Got new job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
I moved to a new department,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Job Change,PositiveJobSwitch,Work,Work,Unanticipated,2,3
job change,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Job change,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Job change to a new job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Job outsourced,PositiveJobSwitch,Work,Work,Unanticipated,2,3
new job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
new job included management; i had no prior experience with direct reports,PositiveJobSwitch,Work,Work,Unanticipated,2,3
New job!,PositiveJobSwitch,Work,Work,Unanticipated,2,3
New position,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Start New Job,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Start new position,PositiveJobSwitch,Work,Work,Unanticipated,2,3
started a new job in a new city,PositiveJobSwitch,Work,Work,Unanticipated,2,3
My employer (Bennington) was acquired by Polaris,PositiveJobSwitch,Work,Work,Unanticipated,2,3
Changed household,PositiveMove,Personal,Residence,Anticipated,2,2
Changed job location (same occupation),PositiveMove,Personal,Residence,Anticipated,2,2
"Changed jobs, Took a vacation,  Moved to a new home",PositiveMove,Personal,Residence,Anticipated,2,2
I moved to tampa florida in APril 2019,PositiveMove,Personal,Residence,Anticipated,2,2
Move,PositiveMove,Personal,Residence,Anticipated,2,2
move to new home,PositiveMove,Personal,Residence,Anticipated,2,2
moved,PositiveMove,Personal,Residence,Anticipated,2,2
Moved - changed apartments,PositiveMove,Personal,Residence,Anticipated,2,2
Moved apartments,PositiveMove,Personal,Residence,Anticipated,2,2
moved home,PositiveMove,Personal,Residence,Anticipated,2,2
Moved houses,PositiveMove,Personal,Residence,Anticipated,2,2
Moved Houses,PositiveMove,Personal,Residence,Anticipated,2,2
Moved into a new home with pets,PositiveMove,Personal,Residence,Anticipated,2,2
moved into first home,PositiveMove,Personal,Residence,Anticipated,2,2
Moved into Home,PositiveMove,Personal,Residence,Anticipated,2,2
Moved into new home permanently,PositiveMove,Personal,Residence,Anticipated,2,2
Moved into new house,PositiveMove,Personal,Residence,Anticipated,2,2
Moved to a new house,PositiveMove,Personal,Residence,Anticipated,2,2
Moved to new house,PositiveMove,Personal,Residence,Anticipated,2,2
new home,PositiveMove,Personal,Residence,Anticipated,2,2
Relocated,PositiveMove,Personal,Residence,Anticipated,2,2
Tampa for 6 month short term project,PositiveMove,Personal,Residence,Anticipated,2,2
"Sold/Purchased a home, moved",PositiveMove,Personal,Residence,Anticipated,2,2
Husband became US citizen,PositiveMove,Personal,Residence,Anticipated,2,2
New relationship,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Relations with significant other changed for the better,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Relationship Started,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Relationship with significant other,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Started a relationship,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
started a relationship,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Wife's 50th Birthday Celebration,PositiveRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Became pregnant,Pregnant,Personal,HavingChildren,Anticipated,2,3
Became pregnant with 3rd child,Pregnant,Personal,HavingChildren,Anticipated,2,3
"Became pregnant, birth of a first or later child; adopted a child",Pregnant,Personal,HavingChildren,Anticipated,2,3
Found out wife is pregnant,Pregnant,Personal,HavingChildren,Anticipated,2,3
Maternity Leave,Pregnant,Personal,HavingChildren,Anticipated,2,3
pregnancy,Pregnant,Personal,HavingChildren,Anticipated,2,3
Pregnancy,Pregnant,Personal,HavingChildren,Anticipated,2,3
Pregnancy related changes,Pregnant,Personal,HavingChildren,Anticipated,2,3
Pregnancy/ new baby,Pregnant,Personal,HavingChildren,Anticipated,2,3
pregnant,Pregnant,Personal,HavingChildren,Anticipated,2,3
pregnant with first child,Pregnant,Personal,HavingChildren,Anticipated,2,3
We found out we were expecting.,Pregnant,Personal,HavingChildren,Anticipated,2,3
Pregnant,Pregnant,Personal,HavingChildren,Anticipated,2,3
Found out I was going to be promoted,Promoted,Work,Work,Unanticipated,2,3
Got a promotion,Promoted,Work,Work,Unanticipated,2,3
got promoted,Promoted,Work,Work,Unanticipated,2,3
Job promotion,Promoted,Work,Work,Unanticipated,2,3
promoted,Promoted,Work,Work,Unanticipated,2,3
Promoted,Promoted,Work,Work,Unanticipated,2,3
Promotion,Promoted,Work,Work,Unanticipated,2,3
promotion,Promoted,Work,Work,Unanticipated,2,3
PROMOTION,Promoted,Work,Work,Unanticipated,2,3
Promotion & Bonus,Promoted,Work,Work,Unanticipated,2,3
Promotion to team lead,Promoted,Work,Work,Unanticipated,2,3
random promotion,Promoted,Work,Work,Unanticipated,2,3
Received promotion and bonus,Promoted,Work,Work,Unanticipated,2,3
2018 Promotion,Promoted,Work,Work,Unanticipated,2,3
Promoted to Team Lead,Promoted,Work,Work,Unanticipated,2,3
Changed job position,Promoted,Work,Work,Unanticipated,2,3
job promotion,Promoted,Work,Work,Unanticipated,2,3
End Of Quarter,QuarterEnd,Work,Work,Anticipated,3,3
Q2 Quarter End,QuarterEnd,Work,Work,Anticipated,3,3
Q3 End,QuarterEnd,Work,Work,Anticipated,3,3
Climbed a 14er and fought with my boyfriend,RelationshipIssues,Personal,LoveAndMarriage,Unanticipated,3,3
Crewed for my brother while he did an ultra marathon and fought with my boyfriend,RelationshipIssues,Personal,LoveAndMarriage,Unanticipated,3,3
Emotional roller coaster with my spause,RelationshipIssues,Personal,LoveAndMarriage,Unanticipated,3,3
Marital Issues,RelationshipIssues,Personal,LoveAndMarriage,Unanticipated,3,3
Relations with significant other or close friend changed for the better or worse,RelationshipIssues,Personal,LoveAndMarriage,Unanticipated,3,3
Relationship changed,RelationshipIssues,Personal,LoveAndMarriage,Unanticipated,3,3
Changed Church,ReligiousEvent,Local,Local,Anticipated,1,1
Changed churchs,ReligiousEvent,Local,Local,Anticipated,1,1
changed churches,ReligiousEvent,Local,Local,Anticipated,1,1
Changed churches,ReligiousEvent,Local,Local,Anticipated,1,1
Found out I was not being converted immediately,ReligiousEvent,Local,Local,Anticipated,1,1
Baby room preparations,RemodeledHome,Personal,Residence,Anticipated,2,2
Found out extreme home renovations needed,RemodeledHome,Personal,Residence,Anticipated,2,2
House Remodel,RemodeledHome,Personal,Residence,Anticipated,2,2
HVAC for house stopped working and had to be replaced for $15k,RemodeledHome,Personal,Residence,Anticipated,2,2
Installed solar panels on house,RemodeledHome,Personal,Residence,Anticipated,2,2
new window install,RemodeledHome,Personal,Residence,Anticipated,2,2
Remodeled Basement,RemodeledHome,Personal,Residence,Anticipated,2,2
"Remodeled home, required temporary move out",RemodeledHome,Personal,Residence,Anticipated,2,2
remodeling home,RemodeledHome,Personal,Residence,Anticipated,2,2
Roof Installation,RemodeledHome,Personal,Residence,Anticipated,2,2
Self installed front porch,RemodeledHome,Personal,Residence,Anticipated,2,2
Remodeled bathroom,RemodeledHome,Personal,Residence,Anticipated,2,2
Remodeled my kitchen,RemodeledHome,Personal,Residence,Anticipated,2,2
identity theft,Robbed,Personal,CrimeAndLegal,Unanticipated,3,3
Wallet stolen,Robbed,Personal,CrimeAndLegal,Unanticipated,3,3
new job wage decrease,SalaryCut,Work,Work,Unanticipated,3,3
Raise,SalaryIncrement,Work,Work,Unanticipated,3,3
Salary Increase,SalaryIncrement,Work,Work,Unanticipated,3,3
Salary increase,SalaryIncrement,Work,Work,Unanticipated,3,3
Compensation change,SalaryIncrement,Work,Work,Unanticipated,3,3
Got a raise,SalaryIncrement,Work,Work,Unanticipated,3,3
Pay increase,SalaryIncrement,Work,Work,Unanticipated,3,3
Received a raise,SalaryIncrement,Work,Work,Unanticipated,3,3
Separated from my husband,SeparatedInMarriage,Personal,LoveAndMarriage,Anticipated,3,3
Sold our house,SoldHouse,Financial,Financial,Anticipated,2,2
sold our house in KS,SoldHouse,Financial,Financial,Anticipated,2,2
40 mile bike ride,SportsEvent,Local,Local,Anticipated,1,1
Attended car race at Watkins Glen,SportsEvent,Local,Local,Anticipated,1,1
Attended car race in Atlanta,SportsEvent,Local,Local,Anticipated,1,1
Attended car race in Dayton Floriday,SportsEvent,Local,Local,Anticipated,1,1
Attended car race in Sebring Florida,SportsEvent,Local,Local,Anticipated,1,1
Attended car race in Virginia,SportsEvent,Local,Local,Anticipated,1,1
Chiefs lost in Playoffs,SportsEvent,Local,Local,Anticipated,1,1
Climbed a 14er on my birthday and got extreme altitude sickness (10 hrs of being sick)),SportsEvent,Local,Local,Anticipated,1,1
climbed a local mountain with new boyfriend (Bear Peak),SportsEvent,Local,Local,Anticipated,1,1
Climbed two 14ers,SportsEvent,Local,Local,Anticipated,1,1
Coached Club Volleyball,SportsEvent,Local,Local,Anticipated,1,1
Coaching,SportsEvent,Local,Local,Anticipated,1,1
Created Hockey Team,SportsEvent,Local,Local,Anticipated,1,1
Football games,SportsEvent,Local,Local,Anticipated,1,1
football national championship,SportsEvent,Local,Local,Anticipated,1,1
High altitude hike,SportsEvent,Local,Local,Anticipated,1,1
High school state wrestling tournament,SportsEvent,Local,Local,Anticipated,1,1
oregon game,SportsEvent,Local,Local,Anticipated,1,1
playing sport,SportsEvent,Local,Local,Anticipated,1,1
Ran half marathon,SportsEvent,Local,Local,Anticipated,1,1
Sport event,SportsEvent,Local,Local,Anticipated,1,1
Started a sport,SportsEvent,Local,Local,Anticipated,1,1
Started half ironman training,SportsEvent,Local,Local,Anticipated,1,1
Started running competitively again,SportsEvent,Local,Local,Anticipated,1,1
super bowl,SportsEvent,Local,Local,Anticipated,1,1
Swimming Competition,SportsEvent,Local,Local,Anticipated,1,1
Trained and Ran First Marathon,SportsEvent,Local,Local,Anticipated,1,1
Trained for long bike event,SportsEvent,Local,Local,Anticipated,1,1
training,SportsEvent,Local,Local,Anticipated,1,1
Training for Duathalon,SportsEvent,Local,Local,Anticipated,1,1
Ultimate frisbee club team,SportsEvent,Local,Local,Anticipated,1,1
Vacation - hiking and ran a marathon,SportsEvent,Local,Local,Anticipated,1,1
Was at a baseball game where my team advanced to National League Championship,SportsEvent,Local,Local,Anticipated,1,1
WSU Game,SportsEvent,Local,Local,Anticipated,1,1
Bears Wild Card Game,SportsEvent,Local,Local,Anticipated,1,1
daughters softball tournament,SportsEvent,Local,Local,Anticipated,1,1
team,SportsEvent,Local,Local,Anticipated,1,1
Football playoffs,SportsEvent,Local,Local,Anticipated,1,1
ND football season,SportsEvent,Local,Local,Anticipated,1,1
Daughter played in regional high school game her senior game of hs,SportsEvent,Local,Local,Anticipated,1,1
football tailgate,SportsEvent,Local,Local,Anticipated,1,1
football game,SportsEvent,Local,Local,Anticipated,1,1
football game,SportsEvent,Local,Local,Anticipated,1,1
Becoming the legal guardian of my niece,StartedRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Began dating,StartedRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
"Began dating new (and current boyfriend) on Sept 2, 2018 and stress started reducing early October 2018",StartedRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
dating new partner,StartedRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
New Relationship Stress,StartedRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
started new relationship,StartedRelationship,Personal,LoveAndMarriage,Unanticipated,2,2
Started a business,StartUp,Work,Work,Anticipated,1,1
Started new side work,StartUp,Work,Work,Anticipated,1,1
freelance work,StartUp,Work,Work,Anticipated,1,1
Back problems and surgery,Surgery,Health,Health,Anticipated,2,3
Child minor surgery,Surgery,Health,Health,Anticipated,2,3
dog injured back and was paralyzed requiring expensive emergent surgery,Surgery,Health,Health,Anticipated,2,3
Foot Surgery,Surgery,Health,Health,Anticipated,2,3
Gall Bladder issues and surgery,Surgery,Health,Health,Anticipated,2,3
Got a lot of dental work done,Surgery,Health,Health,Anticipated,2,3
"Got Married, Had Surgery",Surgery,Health,Health,Anticipated,2,3
Met with surgeon for knee replacement,Surgery,Health,Health,Anticipated,2,3
Neck Surgery,Surgery,Health,Health,Anticipated,2,3
Shoulder Surgery,Surgery,Health,Health,Anticipated,2,3
Small Surgery,Surgery,Health,Health,Anticipated,2,3
Surgery (Gall Bladder Removal),Surgery,Health,Health,Anticipated,2,3
Uterine Surgery,Surgery,Health,Health,Anticipated,2,3
Wrist surgery,Surgery,Health,Health,Anticipated,2,3
Knew surgery,Surgery,Health,Health,Anticipated,2,3
Child surgery,Surgery,Health,Health,Anticipated,2,3
Lynne Surgery,Surgery,Health,Health,Anticipated,2,3
Surgery and biopsy #1,Surgery,Health,Health,Anticipated,2,3
Minor surgery,Surgery,Health,Health,Anticipated,2,3
recovered from surgery,Surgery,Health,Health,Anticipated,2,3
Surgery and biopsy #2,Surgery,Health,Health,Anticipated,2,3
Son's surgery,Surgery,Health,Health,Anticipated,2,3
Husband surgery,Surgery,Health,Health,Anticipated,2,3
recover from surgery,Surgery,Health,Health,Anticipated,2,3
"Catastrophe, e.g. mass shooting",TraumaticEvent,Personal,Personal,Unanticipated,3,3
Family Trauma,TraumaticEvent,Personal,Personal,Unanticipated,3,3
Mass Shooting,TraumaticEvent,Personal,Personal,Unanticipated,3,3
North Korea & U.S. Events,TraumaticEvent,Personal,Personal,Unanticipated,3,3
Tree of Life Shooting,TraumaticEvent,Personal,Personal,Unanticipated,3,3
Triggering event,TraumaticEvent,Personal,Personal,Unanticipated,3,3
Attended a friend's wedding,Trip,Personal,SocialActivities,Anticipated,2,2
Attended my roommate's wedding,Trip,Personal,SocialActivities,Anticipated,2,2
attended Purdue basketball with family,Trip,Personal,SocialActivities,Anticipated,2,2
Attending industrial advisory council meeting for EECS department at University of Missouri,Trip,Personal,SocialActivities,Anticipated,2,2
Bought a trip at school auction,Trip,Personal,SocialActivities,Anticipated,2,2
Child field trip,Trip,Personal,SocialActivities,Anticipated,2,2
Child went on 3 month trip to Africa,Trip,Personal,SocialActivities,Anticipated,2,2
Cousin's Wedding,Trip,Personal,SocialActivities,Anticipated,2,2
Day trip to Breckenridge with new boyfriend,Trip,Personal,SocialActivities,Anticipated,2,2
Exercise boot camp,Trip,Personal,SocialActivities,Anticipated,2,2
Honeymoon,Trip,Personal,SocialActivities,Anticipated,2,2
I traveled for work a lot during the study. Too many times to list individually,Trip,Personal,SocialActivities,Anticipated,2,2
Integration project for company acquisition. Required travel to Italy for 3 weeks,Trip,Personal,SocialActivities,Anticipated,2,2
New years trip,Trip,Personal,SocialActivities,Anticipated,2,2
Retreat,Trip,Personal,SocialActivities,Anticipated,2,2
Sister-in-laws wedding in Bahamas,Trip,Personal,SocialActivities,Anticipated,2,2
Ski trip to Jackson Hole,Trip,Personal,SocialActivities,Anticipated,2,2
Snowboarding trip,Trip,Personal,SocialActivities,Anticipated,2,2
Travel to brother graduation,Trip,Personal,SocialActivities,Anticipated,2,2
Travel to China,Trip,Personal,SocialActivities,Anticipated,2,2
Travel to girlfriend graduation,Trip,Personal,SocialActivities,Anticipated,2,2
Travel to Italy again for 2 weeks for training,Trip,Personal,SocialActivities,Anticipated,2,2
Travel to wedding,Trip,Personal,SocialActivities,Anticipated,2,2
"Traveled to Osh Kosh, WI, for work",Trip,Personal,SocialActivities,Anticipated,2,2
Trip with spouse to Chicago,Trip,Personal,SocialActivities,Anticipated,2,2
vendor tour,Trip,Personal,SocialActivities,Anticipated,2,2
visit sick parent,Trip,Personal,SocialActivities,Anticipated,2,2
Visited college friends at school,Trip,Personal,SocialActivities,Anticipated,2,2
Went to Disney,Trip,Personal,SocialActivities,Anticipated,2,2
Went to see Family in Russia,Trip,Personal,SocialActivities,Anticipated,2,2
Work and fun trip,Trip,Personal,SocialActivities,Anticipated,2,2
Work trip,Trip,Personal,SocialActivities,Anticipated,2,2
Work field trip,Trip,Personal,SocialActivities,Anticipated,2,2
Make-A-Wish trip,Trip,Personal,SocialActivities,Anticipated,2,2
Work travel overseas,Trip,Personal,SocialActivities,Anticipated,2,2
work trip,Trip,Personal,SocialActivities,Anticipated,2,2
Problem with In laws,TroubleInLaws,Personal,LoveAndMarriage,Unanticipated,3,2
Back Surgery,Vacation,Personal,SocialActivities,Anticipated,2,2
Back to Tampa NEW Years Eve vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Beach Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Best friend took me on vacation to CABO,Vacation,Personal,SocialActivities,Anticipated,2,2
"Changed jobs, Took a vacation,  Moved to a new home",Vacation,Personal,SocialActivities,Anticipated,2,2
Christmas holiday/vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Christmas vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Christmas Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Disney World Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
family vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Family vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Golf vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Italy vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Lake vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Marco Island Beach vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Mazatlan vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Ski Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
take vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Took a family vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Took a vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
took a vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Took a vacation to Florida,Vacation,Personal,SocialActivities,Anticipated,2,2
"Took a vacation, Acquired a pet",Vacation,Personal,SocialActivities,Anticipated,2,2
took an international vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Took vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Took Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation - Camping,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation - hiking and ran a marathon,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation - Japan,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation - ski in colorado,Vacation,Personal,SocialActivities,Anticipated,2,2
vacation / someone died,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation Abroad,Vacation,Personal,SocialActivities,Anticipated,2,2
vacation christmas,Vacation,Personal,SocialActivities,Anticipated,2,2
vacation in July,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation March,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation to Portland,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation to San Diego to visit in-laws,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation to Vegas,Vacation,Personal,SocialActivities,Anticipated,2,2
"Vacation to visit family in Reno, NV",Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation with brother,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation with daughter,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation with Girlfriend,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation/ honeymoon,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacationed to Orlando (solo),Vacation,Personal,SocialActivities,Anticipated,2,2
Went on vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Summer vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Great Vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
took vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
European trip,Vacation,Personal,SocialActivities,Anticipated,2,2
Vacation with Family,Vacation,Personal,SocialActivities,Anticipated,2,2
spring break vacation,Vacation,Personal,SocialActivities,Anticipated,2,2
Trip to Europe,Vacation,Personal,SocialActivities,Anticipated,2,2
Triple booked my Christmas celebration,Vacation,Personal,SocialActivities,Anticipated,2,2
Christmas holiday,Vacation,Personal,SocialActivities,Anticipated,2,2
did 2 director roles for 16 months,Vacation,Personal,SocialActivities,Anticipated,2,2
Winter Classic,Vacation,Personal,SocialActivities,Anticipated,2,2
Winter Classic 2019,Vacation,Personal,SocialActivities,Anticipated,2,2
Dog got sick and had to fly home from vacation,VacationPlanFail,Personal,SocialActivities,Unanticipated,2,2
Hit a deer on road trip,VacationPlanFail,Personal,SocialActivities,Unanticipated,2,2
Skipped planned vacation,VacationPlanFail,Personal,SocialActivities,Unanticipated,2,2
Terrible vacation,VacationPlanFail,Personal,SocialActivities,Unanticipated,2,2
Vacation went bad,VacationPlanFail,Personal,SocialActivities,Unanticipated,2,2
Did not take a vacation after work,VacationPlanFail,Personal,SocialActivities,Unanticipated,2,2
Contract ended on a job I had and was no longer full time,WorkLoss,Work,Work,Unanticipated,3,3
Employer shut down,WorkLoss,Work,Work,Unanticipated,3,3
failed hire for replacement,WorkLoss,Work,Work,Unanticipated,3,3
Failed testing and significantly dropped behind in schedule.,WorkLoss,Work,Work,Unanticipated,3,3
fired,WorkLoss,Work,Work,Unanticipated,3,3
Found out a coworker was leaving,WorkLoss,Work,Work,Unanticipated,3,3
"Got laid off, told about it in March",WorkLoss,Work,Work,Unanticipated,3,3
Loss of employment,WorkLoss,Work,Work,Unanticipated,3,3
Quit Boy Scout Committee Chair Position,WorkLoss,Work,Work,Unanticipated,3,3
Quit job,WorkLoss,Work,Work,Unanticipated,3,3
spouse got laid-off,WorkLoss,Work,Work,Unanticipated,3,3
Imposter syndrome,WorkLoss,Work,Work,Unanticipated,3,3
Had a slow start or workload,WorkLoss,Work,Work,Unanticipated,3,3
Significant success at work,WorkSuccess,Work,Work,Unanticipated,2,3
Acting showcase,WorkSuccess,Work,Work,Unanticipated,2,3
Became a licensed IHSAA Basketball Official,WorkSuccess,Work,Work,Unanticipated,2,3
Big Success,WorkSuccess,Work,Work,Unanticipated,2,3
City council election for my brother,WorkSuccess,Work,Work,Unanticipated,2,3
client filing week (long long hours)and End of busy season party with client,WorkSuccess,Work,Work,Unanticipated,2,3
Company audit completed,WorkSuccess,Work,Work,Unanticipated,2,3
Finished Year-End Work for Client,WorkSuccess,Work,Work,Unanticipated,2,3
Given first major project,WorkSuccess,Work,Work,Unanticipated,2,3
Helped facilitate an event,WorkSuccess,Work,Work,Unanticipated,2,3
Presented to college class at Univeristy of Missouri,WorkSuccess,Work,Work,Unanticipated,2,3
Recognition Award,WorkSuccess,Work,Work,Unanticipated,2,3
